,node_0,node_1,node_2,node_3,node_4
0,37.150000000000006,0.0,51.6,81.2,53.4
1,37.150000000000006,0.0,50.3,81.8,55.8
2,37.150000000000006,0.0,49.0,81.9,56.3
3,49.95,0.0,35.5,77.5,60.9
4,54.6,0.0,33.6,78.7,63.1
5,55.3,0.0,33.9,78.3,63.3
6,55.3,0.0,33.9,78.4,63.3
7,67.0,0.0,38.3,79.9,53.1
8,44.5,0.0,49.0,75.1,52.9
9,45.599999999999994,0.0,46.8,75.5,53.4
10,51.349999999999994,0.0,37.0,77.4,56.2
11,51.8,0.0,38.0,77.9,56.3
12,51.8,0.0,38.0,77.9,56.3
13,49.8,0.0,48.4,60.3,60.7
14,49.5,0.0,47.5,59.3,60.7
15,57.550000000000004,0.0,55.2,83.3,65.2
16,58.1,0.0,54.7,83.4,65.0
17,59.150000000000006,0.0,51.1,80.6,61.5
18,58.7,0.0,62.1,80.7,61.5
19,52.3,0.0,40.5,76.0,66.6
20,53.95,0.0,40.1,75.6,66.8
21,52.95,0.0,46.6,72.2,69.0
22,53.0,0.0,45.8,72.7,69.0
23,53.95,0.0,38.8,72.7,66.5
24,53.650000000000006,0.0,39.4,72.5,70.2
25,54.5,0.0,37.2,69.4,59.6
26,55.65,0.0,38.5,69.6,59.9
27,48.3,0.0,31.7,61.2,63.9
28,47.95,0.0,30.4,59.0,63.9
29,50.7,0.0,-36.6,39.0,66.2
30,49.45,0.0,-36.6,39.0,66.0
31,47.55,0.0,38.1,40.8,55.8
32,47.75,0.0,41.6,40.2,55.8
33,48.599999999999994,0.0,42.6,46.3,60.9
34,51.05,0.0,45.9,43.5,63.3
35,49.2,0.0,46.2,44.6,63.2
36,56.2,0.0,-39.1,43.4,64.2
37,59.05,0.0,-39.4,44.5,64.4
38,58.849999999999994,0.0,41.1,44.6,62.3
39,59.150000000000006,0.0,42.0,45.2,62.3
40,57.15,0.0,35.5,47.9,61.8
41,57.35,0.0,39.1,47.5,61.2
42,67.35,0.0,35.7,45.5,64.2
43,65.95,0.0,40.8,45.7,64.2
44,68.1,0.0,36.6,45.6,61.7
45,64.75,0.0,36.6,44.3,61.9
46,58.75,0.0,35.9,50.0,63.2
47,57.65,0.0,35.9,51.9,63.2
48,71.05,0.0,-37.5,51.2,69.1
49,71.05,0.0,-36.2,51.8,69.6
50,70.85,0.0,-34.1,60.5,63.0
51,71.3,0.0,34.2,59.9,63.0
52,54.45,0.0,-46.0,56.5,66.6
53,53.8,0.0,-42.2,55.9,66.3
54,63.55,0.0,35.3,60.4,55.6
55,63.8,0.0,36.6,60.5,55.5
56,67.75,0.0,-38.5,51.1,62.7
57,66.85,0.0,-37.6,53.8,62.3
58,70.35,0.0,-41.9,47.0,65.7
59,70.69999999999999,0.0,-41.0,47.7,64.9
60,69.85,0.0,62.6,57.9,70.0
61,67.35,0.0,59.9,57.1,70.2
62,56.400000000000006,0.0,69.4,49.2,68.8
63,56.36666666666667,0.0,69.3,49.4,68.8
64,68.80000000000001,0.0,77.3,57.2,59.9
65,49.73333333333334,0.0,58.3,55.1,59.1
66,54.800000000000004,0.0,83.2,56.0,61.5
67,55.23333333333333,0.0,83.2,55.8,61.5
68,41.36666666666667,0.0,92.9,58.0,55.2
69,42.36666666666667,0.0,93.2,56.6,55.2
70,52.133333333333326,0.0,94.4,65.0,50.9
71,51.4,0.0,94.4,64.9,51.0
72,51.666666666666664,0.0,90.9,65.6,60.4
73,52.23333333333334,0.0,90.9,65.6,60.3
74,54.26666666666666,0.0,94.2,66.8,59.3
75,53.366666666666674,0.0,95.0,66.7,59.3
76,54.73333333333333,0.0,66.6,63.3,55.5
77,54.53333333333333,0.0,67.1,61.2,54.8
